Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1201,2:29:30,,Chihiro TANAKA,13 NOV 1969,JPN,4,,Nagoya (JPN),10 MAR 2002,1138
1201,2:29:30,,Elvan ABEYLEGESSE,11 SEP 1982,TUR,2,,Istanbul (TUR),17 NOV 2013,1138
1201,2:29:30,,Chaltu WAKA,25 SEP 1985,ETH,3,,Warszawa (POL),26 APR 2015,1138
1201,2:29:30,,Nancy KOECH,12 NOV 1986,KEN,4,,Daegu (KOR),02 APR 2017,1138
1201,2:29:30,,Ruth VAN DER MEIJDEN,15 AUG 1984,NED,10,,Enschede (NED),18 APR 2021,1138
1206,2:29:31,,Rosanna MUNEROTTO,03 DEC 1962,ITA,1,,Torino (ITA),23 APR 1995,1137
1206,2:29:31,,Nobuko MATSUYAMA,17 DEC 1971,JPN,6,,Osaka (JPN),26 JAN 1997,1137
1206,2:29:31,,Kazue OGOSHI,02 MAR 1981,JPN,13,,Osaka (JPN),27 JAN 2008,1137
1209,2:29:32,,Jacqueline GAREAU,10 MAR 1953,CAN,2,,"Houston, TX (USA)",06 JAN 1985,1137
1209,2:29:32,,Jennifer RHINES,01 JUL 1974,USA,4,,Roma (ITA),26 MAR 2006,1137
1209,2:29:32,,Elizabeth RUMOKOL,26 MAR 1983,KEN,1,,Nairobi (KEN),25 OCT 2015,1137
1212,2:29:33,,Linan WANG,26 NOV 1985,CHN,4,,Beijing (CHN),19 OCT 2003,1137
1212,2:29:33,,Hellen Cherono KOSKEI,22 FEB 1984,KEN,3,,Seoul (KOR),18 MAR 2007,1137
1212,2:29:33,,Kim-Chol SUN,21 MAR 1983,PRK,2,,Pyongyang (PRK),06 APR 2008,1137
1215,2:29:34,,Dorthe RASMUSSEN,27 JAN 1960,DEN,4,,London (GBR),23 APR 1989,1137
1215,2:29:34,,Carmen DE OLIVEIRA,17 AUG 1965,BRA,6,,Nagoya (JPN),10 MAR 1996,1137
1215,2:29:34,,Maya NISHIO,19 DEC 1978,JPN,8,,Nagoya (JPN),09 MAR 2008,1137
1215,2:29:34,,Ann-Marie MCGLYNN,22 FEB 1980,IRL,3,,Pulford (GBR),25 APR 2021,1137
1219,2:29:35,,Gloria MARCONI,31 MAR 1968,ITA,1,,Roma (ITA),23 MAR 2003,1137
1219,2:29:35,,Yuko MACHIDA,11 AUG 1980,JPN,3,,Nagoya (JPN),08 MAR 2009,1137
1219,2:29:35,,Edinah KWAMBAI,28 DEC 1987,KEN,2,,Ljubljana (SLO),27 OCT 2013,1137
1219,2:29:35,,Marie IMADA,18 JAN 1990,JPN,4,,Saitama (JPN),09 DEC 2018,1137
1223,2:29:36,,Katsuyo HYODO,04 DEC 1967,JPN,2,,Osaka (JPN),28 JAN 1990,1137
1223,2:29:36,,Yuzhu ZHANG,,CHN,1,,Tianjin (CHN),10 APR 1999,1137
1223,2:29:36,,Kellys  ARIAS,03 JUL 1989,COL,6,,Hamburg (GER),17 APR 2016,1137
1223,2:29:36,,Beatrice CHEROP,1986,KEN,6,,Roma (ITA),17 MAR 2024,1137
1227,2:29:37,,Misako MIYAHARA,29 MAY 1962,JPN,2,,Osaka (JPN),31 JAN 1988,1136
1227,2:29:37,,Takako TOBISE,02 JUN 1974,JPN,3,,Nagoya (JPN),09 MAR 1997,1136
1227,2:29:37,,Liza HUNTER-GALVAN,25 JUN 1969,NZL,2,,"San Antonio, TX (USA)",16 NOV 2008,1136
1227,2:29:37,,Svetlana KLIMKOVICH-KOVGAN,26 AUG 1980,BLR,1,,Brighton (GBR),15 APR 2012,1136
1227,2:29:37,,Sarah INGLIS,28 AUG 1991,GBR,9,,"Chicago, IL (USA)",09 OCT 2022,1136
1232,2:29:38,,Cathy O'BRIEN,19 JUL 1967,USA,1,,"Los Angeles, CA (USA)",03 MAR 1991,1136
1233,2:29:39,,Anuta CATUNA,01 OCT 1968,ROU,2,,Marrakech (MAR),30 JAN 1994,1136
1233,2:29:39,,Hiromi IGARASHI,26 OCT 1970,JPN,7,,Berlin (GER),10 SEP 2000,1136
1233,2:29:39,,Dorine Jerop MURKOMEN,06 JAN 1998,KEN,1,,Castellón (ESP),25 FEB 2024,1136
1236,2:29:40,,Kerstin PRESSLER,02 FEB 1962,GER,3,,"Los Angeles, CA (USA)",01 MAR 1992,1136
1237,2:29:41,,Meiyu SHEN,21 MAR 1987,CHN,10,,Beijing (CHN),13 OCT 2002,1136
1237,2:29:41,,Katarzyna KOWALSKA,07 APR 1985,POL,12,,Berlin (GER),27 SEP 2015,1136
1239,2:29:42,,Lydia Njeri MATHATHI,11 NOV 1985,KEN,6,,Porto (POR),07 NOV 2021,1136
1240,2:29:43,,Joyce SMITH,26 OCT 1937,GBR,1,,London (GBR),09 MAY 1982,1135
1240,2:29:43,,Naomi WATANABE,29 JAN 1968,JPN,7,,Osaka (JPN),26 JAN 1992,1135
1240,2:29:43,,Irina SUVOROVA,03 MAR 1971,RUS,2,,St. Paul (USA),08 OCT 2000,1135
1240,2:29:43,,Lucilla ANDREUCCI,19 DEC 1969,ITA,1,,Milano (ITA),03 DEC 2000,1135
1240,2:29:43,,Mai TAGAMI,22 JAN 1980,JPN,2,,Sapporo (JPN),29 AUG 2004,1135
1240,2:29:43,,Lyudmila KORCHAGINA,26 JUL 1971,CAN,1,,Ottawa (CAN),28 MAY 2006,1135
1240,2:29:43,,Makida ABDELAH,1989,ETH,6,,Ottawa (CAN),25 MAY 2014,1135
1247,2:29:44,,Qingmei CHEN,04 APR 1963,CHN,3,,Osaka (JPN),27 JAN 1991,1135
1247,2:29:44,,Mi-ja OH,03 JUL 1970,KOR,1,,Kunsan (KOR),09 APR 2000,1135
1247,2:29:44,,Cristina POMACU,15 SEP 1973,ROU,1,,Beograd (SRB),21 APR 2001,1135
1247,2:29:44,,Kana KOBAYASHI,04 APR 2001,JPN,12,,Osaka (JPN),28 JAN 2024,1135
1251,2:29:45,,Hellen KIMAIYO-KIPKOSKEI,08 SEP 1968,KEN,10,,London (GBR),13 APR 1997,1135
1251,2:29:45,,Tami YADA,31 MAY 1972,JPN,3,,Paris (FRA),05 APR 1998,1135
1251,2:29:45,,Mary PTIKANY,1978,KEN,4,,Frankfurt (GER),30 OCT 2005,1135
1251,2:29:45,,Janet CHEROBON-BAWCOM,22 AUG 1978,USA,5,,"Houston, TX (USA)",14 JAN 2012,1135
1251,2:29:45,,Isabella OCHICHI,28 OCT 1979,KEN,3,,"Honolulu, HI (USA)",13 DEC 2015,1135
1251,2:29:45,,Kathy VANDEHY,,USA,5,,"Duluth, MN (USA)",17 JUN 2023,1135
1251,2:29:45,,Molly GRABILL,31 AUG 1992,USA,6,,Toronto (CAN),15 OCT 2023,1135
1258,2:29:46,,Emma SCAUNICH,01 MAR 1954,ITA,2,,"Chicago, IL (USA)",30 OCT 1988,1135
1258,2:29:46,,Sara FERRARI,30 SEP 1977,ITA,2,,Torino (ITA),01 APR 2001,1135
1258,2:29:46,,Nina RILLSTONE,15 APR 1975,NZL,3,,Nagano (JPN),16 APR 2006,1135
1258,2:29:46,,Caroline Jebet KORIR,11 AUG 1994,KEN,3,,Venezia (ITA),23 OCT 2022,1135
1258,2:29:46,,Nawal YAHI,09 DEC 1991,ALG,27,,Sevilla (ESP),18 FEB 2024,1135
1263,2:29:47,,Paula FUDGE,30 MAR 1952,GBR,3,,"Chicago, IL (USA)",30 OCT 1988,1135
1263,2:29:47,,Natalya GALUSHKO,18 SEP 1971,BLR,6,,Osaka (JPN),25 JAN 1998,1135
1263,2:29:47,,Aberash NESGA,1985,ETH,2,,Reims (FRA),16 OCT 2011,1135
1266,2:29:48,,Nadia PRASAD,06 OCT 1967,FRA,1,,"Los Angeles, CA (USA)",05 MAR 1995,1135
1266,2:29:48,,Maria del Carmen DÍAZ,15 JUL 1970,MEX,2,,Rotterdam (NED),28 APR 1996,1135
1266,2:29:48,,Fernanda RIBEIRO,23 JUN 1969,POR,6,,Hamburg (GER),23 APR 2006,1135
1266,2:29:48,,Jingxia ZHANG,15 JUL 1991,CHN,1,,Chongqing (CHN),22 MAR 2014,1135
1266,2:29:48,,Emily SETLACK,02 JUN 1980,CAN,11,,Toronto (CAN),20 OCT 2019,1135
1271,2:29:49,,Alevtina NAUMOVA,16 JAN 1961,URS,1,,Uzhgorod (URS),17 APR 1988,1134
1271,2:29:49,,Yelena NURGALIEVA,09 JAN 1976,RUS,2,,Frankfurt (GER),31 OCT 2004,1134
1271,2:29:49,,Lemma AYELA,1987,ETH,2,,Milano (ITA),12 APR 2015,1134
1271,2:29:49,,Yurie DOI,08 DEC 1988,JPN,11,,Nagoya (JPN),11 MAR 2018,1134
1271,2:29:49,,Doris Chepkwemoi CHANGEYWO,12 DEC 1984,KEN,3,,Milano (ITA),08 APR 2018,1134
1271,2:29:49,,Ran JONG,,PRK,4,,Pyongyang (PRK),07 APR 2019,1134
1271,2:29:49,,Zaida RAMOS,11 NOV 1995,PER,28,,Sevilla (ESP),18 FEB 2024,1134
1271,2:29:49,,Yuri MITSUNE,30 MAR 1998,JPN,13,,Nagoya (JPN),10 MAR 2024,1134
1279,2:29:50,,Margaret GROOS,27 SEP 1959,USA,1,,"Pittsburgh, PA (USA)",01 MAY 1988,1134
1279,2:29:50,,Bekelech BEDADA,29 DEC 1991,ETH,12,,Nagoya (JPN),13 MAR 2016,1134
1279,2:29:50,,Bria WETSCH,24 MAY 1988,USA,10,,"Chandler, AZ (USA)",20 DEC 2020,1134
1282,2:29:51,,Man JIN,05 DEC 1984,CHN,3,,Xiamen (CHN),25 MAR 2006,1134
1282,2:29:51,,Vincenza SICARI,19 MAR 1979,ITA,1,,Torino (ITA),13 APR 2008,1134
1282,2:29:51,,Judith TORIBIO LAVADO,09 JAN 1982,PER,3,,Daegu (KOR),06 APR 2014,1134
1282,2:29:51,,Denbeli CHEFO,05 APR 2000,ETH,3,,Dublin (IRL),27 OCT 2019,1134
1282,2:29:51,,Erika HONDA,10 JUN 1991,JPN,11,,Nagoya (JPN),08 MAR 2020,1134
1282,2:29:51,,Maritu KETEMA,21 FEB 2000,ETH,5,,Málaga (ESP),12 DEC 2021,1134
1282,2:29:51,,Monika JACKIEWICZ,18 DEC 1992,POL,1,,Debno (POL),10 APR 2022,1134
1289,2:29:52,,Emma Muthoni KARIUKI,04 JAN 1981,KEN,1,,Taiyuan (CHN),05 SEP 2010,1134
1289,2:29:52,,Ehete BIZUAYEHU,1991,ETH,1,,Sevilla (ESP),24 FEB 2013,1134
1289,2:29:52,,Anna MATSUDA,18 APR 1994,JPN,8,,Osaka (JPN),31 JAN 2021,1134
1292,2:29:53,,Satomi IWASHITA,03 FEB 1969,JPN,8,,Osaka (JPN),26 JAN 1992,1134
1292,2:29:53,,Almaz MEGERSSA,1982,ETH,7,,Paris (FRA),06 APR 2008,1134
1292,2:29:53,,Soledad TORRE,04 MAY 1992,PER,1,,Lima (PER),01 MAY 2022,1134
1292,2:29:53,,Gladys CHEMUTAI,,KEN,5,,Riyadh (KSA),10 FEB 2024,1134
1296,2:29:54,,Jenny SPANGLER,20 JUL 1963,USA,1,,"Columbia, SC (USA)",10 FEB 1996,1134
1296,2:29:54,,Abeba TOLA,03 JUN 1977,ETH,1,,Amsterdam (NED),15 OCT 2000,1134
1296,2:29:54,,Beáta RAKONCZAI,25 JUN 1977,HUN,4,,Amsterdam (NED),19 OCT 2003,1134
1296,2:29:54,,Akane WAKITA,15 DEC 1987,JPN,6,,Nagoya (JPN),14 MAR 2010,1134
1296,2:29:54,,Gelane SENBETE,28 JUN 1990,ETH,4,,Wuxi (CHN),19 MAR 2023,1134
