Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1,2:11:53,Tigst Assefa,ETH,03 DEC 1996,1,Berlin (GER),24 SEP 2023,Women,Marathon
1,2:00:35,Kelvin Kiptum,KEN,02 DEC 1999,1,"Chicago, IL (USA)",08 OCT 2023,Men,Marathon
2,2:13:44,Sifan Hassan,NED,01 JAN 1993,1,"Chicago, IL (USA)",08 OCT 2023,Women,Marathon
2,2:01:09,Eliud Kipchoge,KEN,05 NOV 1984,1,Berlin (GER),25 SEP 2022,Men,Marathon
3,2:14:04,Brigid Kosgei,KEN,20 FEB 1994,1,"Chicago, IL (USA)",13 OCT 2019,Women,Marathon
3,2:01:41,Kenenisa Bekele,ETH,13 JUN 1982,1,Berlin (GER),29 SEP 2019,Men,Marathon
4,2:01:48,Sisay Lemma,ETH,12 DEC 1990,1,Valencia (ESP),03 DEC 2023,Men,Marathon
4,2:14:18,Ruth Chepngetich,KEN,08 AUG 1994,1,"Chicago, IL (USA)",09 OCT 2022,Women,Marathon
5,2:14:58,Amane Beriso Shankule,ETH,13 OCT 1991,1,Valencia (ESP),04 DEC 2022,Women,Marathon
5,2:02:16,Benson Kipruto,KEN,17 MAR 1991,1,Tokyo (JPN),03 MAR 2024,Men,Marathon
6,2:15:25,Paula Radcliffe,GBR,17 DEC 1973,1,London (GBR),13 APR 2003,Women,Marathon
6,2:02:48,Birhanu Legese,ETH,11 SEP 1994,2,Berlin (GER),29 SEP 2019,Men,Marathon
7,2:15:51,Worknesh Degefa,ETH,28 OCT 1990,1,Valencia (ESP),03 DEC 2023,Women,Marathon
7,2:02:55,Mosinet Geremew,ETH,12 FEB 1992,2,London (GBR),28 APR 2019,Men,Marathon
7,2:02:55,Timothy Kiplagat,KEN,18 SEP 1993,2,Tokyo (JPN),03 MAR 2024,Men,Marathon
8,2:15:55,Sutume Asefa Kebede,ETH,11 DEC 1994,1,Tokyo (JPN),03 MAR 2024,Women,Marathon
9,2:02:57,Dennis Kimetto,KEN,22 APR 1984,1,Berlin (GER),28 SEP 2014,Men,Marathon
9,2:16:07,Tigist Ketema,ETH,15 SEP 1998,1,Dubai (UAE),07 JAN 2024,Women,Marathon
10,2:03:00,Gabriel Gerald Geay,TAN,10 SEP 1996,2,Valencia (ESP),04 DEC 2022,Men,Marathon
10,2:03:00,Evans Chebet,KEN,10 NOV 1988,1,Valencia (ESP),06 DEC 2020,Men,Marathon
10,2:16:14,Rosemary Wanjiru,KEN,09 DEC 1994,2,Tokyo (JPN),03 MAR 2024,Women,Marathon
11,2:16:16,Peres Jepchirchir,KEN,27 SEP 1993,1,London (GBR),21 APR 2024,Women,Marathon
12,2:03:04,Lawrence Cherono,KEN,07 AUG 1988,2,Valencia (ESP),06 DEC 2020,Men,Marathon
12,2:16:22,Almaz Ayana,ETH,21 NOV 1991,2,Valencia (ESP),03 DEC 2023,Women,Marathon
13,2:03:11,Alexander Munyao,KEN,10 SEP 1996,2,Valencia (ESP),03 DEC 2023,Men,Marathon
13,2:16:24,Joyciline Jepkosgei,KEN,08 DEC 1993,3,London (GBR),21 APR 2024,Women,Marathon
14,2:03:13,Amos Kipruto,KEN,16 SEP 1992,2,Tokyo (JPN),06 MAR 2022,Men,Marathon
14,2:16:34,Megertu Alemu,ETH,12 OCT 1997,4,London (GBR),21 APR 2024,Women,Marathon
14,2:03:13,Vincent Kipkemoi Ngetich,KEN,03 JAN 1999,2,Berlin (GER),24 SEP 2023,Men,Marathon
14,2:03:13,Wilson Kipsang Kiprotich,KEN,15 MAR 1982,2,Berlin (GER),25 SEP 2016,Men,Marathon
14,2:03:13,Emmanuel Mutai,KEN,12 OCT 1984,2,Berlin (GER),28 SEP 2014,Men,Marathon
15,2:16:49,Letesenbet Gidey,ETH,20 MAR 1998,2,Valencia (ESP),04 DEC 2022,Women,Marathon
16,2:16:56,Tsehay Gemechu,ETH,12 DEC 1998,2,Tokyo (JPN),05 MAR 2023,Women,Marathon
17,2:17:01,Mary Jepkosgei Keitany,KEN,18 JAN 1982,1,London (GBR),23 APR 2017,Women,Marathon
18,2:03:16,Mule Wasihun,ETH,20 OCT 1993,3,London (GBR),28 APR 2019,Men,Marathon
18,2:17:23,Yalemzerf Yehualaw,ETH,03 AUG 1999,1,Hamburg (GER),24 APR 2022,Women,Marathon
19,2:03:24,Tadese Takele,ETH,03 AUG 2002,3,Berlin (GER),24 SEP 2023,Men,Marathon
19,2:17:29,Sheila Chepkirui,KEN,27 DEC 1990,3,Valencia (ESP),04 DEC 2022,Women,Marathon
20,2:03:27,Deresa Geleta,ETH,14 JAN 1996,1,Sevilla (ESP),18 FEB 2024,Men,Marathon
20,2:17:36,Tadu Teshome,ETH,09 JUN 2001,4,Valencia (ESP),04 DEC 2022,Women,Marathon
21,2:03:34,Getaneh Molla,ETH,10 JAN 1994,1,Dubai (UAE),25 JAN 2019,Men,Marathon
21,2:17:45,Lonah Chemtai Salpeter,ISR,12 DEC 1988,1,Tokyo (JPN),01 MAR 2020,Women,Marathon
22,2:17:56,Tirunesh Dibaba,ETH,01 OCT 1985,2,London (GBR),23 APR 2017,Women,Marathon
22,2:03:36,Bashir Abdi,BEL,10 FEB 1989,1,Rotterdam (NED),24 OCT 2021,Men,Marathon
23,2:03:38,Patrick Makau Musyoki,KEN,02 MAR 1985,1,Berlin (GER),25 SEP 2011,Men,Marathon
23,2:17:57,Angela Tanui,KEN,27 JUL 1992,1,Amsterdam (NED),17 OCT 2021,Women,Marathon
24,2:17:58,Degitu Azimeraw,ETH,24 JAN 1999,2,London (GBR),03 OCT 2021,Women,Marathon
24,2:17:58,Ashete Bekere,ETH,17 APR 1988,2,Tokyo (JPN),06 MAR 2022,Women,Marathon
24,2:03:39,Tamirat Tola,ETH,11 AUG 1991,1,Amsterdam (NED),17 OCT 2021,Men,Marathon
25,2:03:40,Herpasa Negasa,ETH,11 SEP 1993,2,Dubai (UAE),25 JAN 2019,Men,Marathon
26,2:17:59,Hiwot Gebrekidan,ETH,11 MAY 1995,3,Valencia (ESP),03 DEC 2023,Women,Marathon
26,2:03:46,Guye Idemo Adola,ETH,20 OCT 1990,2,Berlin (GER),24 SEP 2017,Men,Marathon
27,2:03:47,Morhad Amdouni,FRA,21 JUN 1988,2,Sevilla (ESP),18 FEB 2024,Men,Marathon
27,2:18:03,Tigist Abayechew,ETH,22 FEB 1994,3,Berlin (GER),25 SEP 2022,Women,Marathon
