Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
4590,2:14:21,,Zemin WANG,05 NOV 1982,CHN,1,,Pyongyang (PRK),12 APR 2009,1089
4590,2:14:21,,Yasuyuki YAMAMOTO,14 DEC 1981,JPN,21,,Otsu (JPN),04 MAR 2012,1089
4590,2:14:21,,Carlos TRUJILLO,17 JUL 1985,USA,18,,"Chicago, IL (USA)",07 OCT 2012,1089
4590,2:14:21,,Demeke WOSENE,1988,ETH,2,,Bucureşti (ROU),06 OCT 2013,1089
4590,2:14:21,,Sammy Kipror KIPTOO,20 DEC 1982,KEN,5,,Nairobi (KEN),27 OCT 2013,1089
4590,2:14:21,,Addisu AHUNIM,1986,ETH,7,,Pune (IND),29 JAN 2017,1089
4590,2:14:21,,Simon NJERI,1987,KEN,1,,Sacile (ITA),02 OCT 2022,1089
4590,2:14:21,,Riad GUERFI,15 OCT 1987,FRA,64,,Valencia (ESP),03 DEC 2023,1089
4609,2:14:22,,Katsushi MATSUDA,26 JAN 1959,JPN,7,,Beppu (JPN),02 FEB 1986,1089
4609,2:14:22,,Dick VAN DER HERTEN,09 MAR 1957,BEL,1,,Lommel (BEL),19 MAY 1986,1089
4609,2:14:22,,Dieudonne LAMOTHE,29 JUL 1954,HAI,1,,Gagny (FRA),16 APR 1988,1089
4609,2:14:22,,Marco MILANI,21 APR 1960,ITA,1,,Roma (ITA),01 APR 1991,1089
4609,2:14:22,,Samuel MOLOKOMME,08 SEP 1968,RSA,5,,Cape Town (RSA),28 FEB 1999,1089
4609,2:14:22,,Moulay TAHAR,1969,MAR,1,,Casablanca (MAR),12 NOV 2000,1089
4609,2:14:22,,Keith DOWLING,04 JUL 1969,USA,14,,"Chicago, IL (USA)",13 OCT 2002,1089
4609,2:14:22,,Tetsuo NISHIMURA,27 OCT 1978,JPN,9,,Otsu (JPN),04 MAR 2007,1089
4609,2:14:22,,Michael MORGAN,20 FEB 1980,USA,17,,"Houston, TX (USA)",14 JAN 2012,1089
4609,2:14:22,,Mulualem NEGESE DEGEFA,,ETH,8,,Danzhou (CHN),20 DEC 2014,1089
4609,2:14:22,,Gaetan CALS,21 APR 1988,FRA,74,,Sevilla (ESP),18 FEB 2024,1089
4620,2:14:23,,Yoshifumi NAGANO,31 MAY 1950,JPN,2,,Oita (JPN),02 FEB 1975,1089
4620,2:14:23,,Yukio SHIGETAKE,18 APR 1948,JPN,1,,Oita (JPN),01 FEB 1976,1089
4620,2:14:23,,Daniel CLOETER,16 MAY 1952,USA,9,,"Eugene, OR (USA)",09 SEP 1979,1089
4620,2:14:23,,John HUNSAKER,06 DEC 1956,USA,1,,"Scottsdale, AZ (USA)",01 DEC 1979,1089
4620,2:14:23,,Andy ROBERTSON,25 MAR 1957,GBR,1,,Sandbach (GBR),21 JUN 1981,1089
4620,2:14:23,,Henrik SANDSTRÖM,28 APR 1952,FIN,7,,Stockholm (SWE),04 JUN 1983,1089
4620,2:14:23,,Katsumi IKEDA,21 APR 1967,JPN,6,,Otsu (JPN),01 MAR 1998,1089
4620,2:14:23,,Mohammed ZOUAK ZIANI,1968,MAR,4,,Wien (AUT),21 MAY 2000,1089
4620,2:14:23,,Rafael MUNOZ,24 OCT 1963,MEX,7,,Torreón (MEX),03 MAR 2002,1089
4620,2:14:23,,Michael MISLAY,11 JUL 1977,TAN,4,,St. Paul (USA),03 OCT 2004,1089
4620,2:14:23,,Rito REGULES,22 MAY 1979,MEX,8,,Torreón (MEX),04 MAR 2007,1089
4620,2:14:23,,Elliah MBOGO,1988,KEN,1,,Singapore (SGP),02 DEC 2007,1089
4620,2:14:23,,Asier CUEVAS,16 JAN 1973,ESP,5f1,,Sevilla (ESP),22 FEB 2009,1089
4620,2:14:23,,Reinhold ITA,07 JAN 1975,NAM,2,,Pyongyang (PRK),12 APR 2009,1089
4620,2:14:23,,Patrick Kipkemboi ROTICH,1979,KEN,7,,Dalian (CHN),18 APR 2010,1089
4620,2:14:23,,Nourdine JALAL,1978,MAR,5,,La Rochelle (FRA),27 NOV 2011,1089
4620,2:14:23,,Tamás KOVÁCS,18 SEP 1983,HUN,2,,Reggio Emilia (ITA),11 DEC 2011,1089
4620,2:14:23,,James KARIOKI,,KEN,3,,Kisumu (KEN),18 DEC 2011,1089
4620,2:14:23,,Tola LEMA,1983,ETH,4,,La Rochelle (FRA),25 NOV 2012,1089
4620,2:14:23,,Yudai YAMAKAWA,27 MAY 1990,JPN,19,,Oita (JPN),03 FEB 2019,1089
4620,2:14:23,,Andrew DAVIES,30 OCT 1979,GBR,51,,Sevilla (ESP),20 FEB 2022,1089
4620,2:14:23,,Ashagre TESEMA,27 APR 1993,ETH,23,,Amsterdam (NED),16 OCT 2022,1089
4620,2:14:23,,Henry KICHANA,1991,TAN,4,,Athina (GRE),12 NOV 2023,1089
4620,2:14:23,,Abera KETEMA,,ETH,7,,Fuzhou (CHN),17 DEC 2023,1089
4644,2:14:24,,Takehiko KIKUCHI,18 APR 1955,JPN,6,,Tokyo (JPN),01 MAR 1981,1088
4644,2:14:24,,Ken-ichi KATASUMI,10 MAR 1958,JPN,9,,Otsu (JPN),10 MAR 1985,1088
4644,2:14:24,,José DE SOUZA,16 NOV 1962,BRA,1,,Madrid (ESP),29 APR 1990,1088
4644,2:14:24,,Mitsunobu IWAMOTO,28 MAY 1969,JPN,7,,Otsu (JPN),01 MAR 1998,1088
4644,2:14:24,,Masaaki KOBAYASHI,19 MAY 1970,JPN,8,,Otsu (JPN),01 MAR 1998,1088
4644,2:14:24,,Oscar MARTÍN,28 JUL 1974,ESP,7,,Hamburg (GER),22 APR 2001,1088
4644,2:14:24,,Abraham KEBETO,1986,ETH,12,,Roma (ITA),22 MAR 2009,1088
4644,2:14:24,,Samson LIMARENG,,KEN,3,,Mumbai (IND),17 JAN 2010,1088
4644,2:14:24,,Masaki NAGAO,31 MAR 1988,JPN,1,,Kochi (JPN),27 FEB 2011,1088
4644,2:14:24,,Oscar Mateo CERON,19 OCT 1983,MEX,7,,Torreón (MEX),04 MAR 2012,1088
4644,2:14:24,,Gurmessa TEMESGEN,11 SEP 1988,ETH,7,,Zürich (SUI),06 APR 2014,1088
4644,2:14:24,,Dominic KEMBOI,1985,KEN,3,,Gunsan (KOR),09 APR 2017,1088
4644,2:14:24,,Valērijs ŽOLNEROVIČS,19 APR 1985,LAT,4,,Riga (LAT),14 MAY 2017,1088
4657,2:14:25,,Toshiaki KAMATA,03 NOV 1951,JPN,4,,Oita (JPN),05 FEB 1978,1088
4657,2:14:25,,Lionel ORTEGA,30 JUL 1954,USA,1,,"Eugene, OR (USA)",10 SEP 1978,1088
4657,2:14:25,,János SZEKERES,11 MAR 1953,HUN,1,,Budapest (HUN),02 NOV 1980,1088
4657,2:14:25,,Mitsuo AKIEDA,06 JUN 1952,JPN,4,,Otsu (JPN),13 MAR 1983,1088
4657,2:14:25,,Jürgen DACHERT,04 FEB 1958,GER,8,,"Chicago, IL (USA)",26 OCT 1986,1088
4657,2:14:25,,Guillermo YRIZAR,19 FEB 1958,MEX,8,,"Houston, TX (USA)",18 JAN 1987,1088
4657,2:14:25,,Salah QOQAICHE,10 JUL 1967,MAR,6,,"Estadio Olímpico, Barcelona (ESP)",09 AUG 1992,1088
4657,2:14:25,,Minoru TAKEISHI,04 SEP 1968,JPN,13,,Fukuoka (JPN),04 DEC 1994,1088
4657,2:14:25,,Omar Gadid DAHER,1966,DJI,9,,Puteaux (FRA),10 NOV 1996,1088
4657,2:14:25,,Shinji TSUNAZAKI,22 AUG 1973,JPN,6,,Beppu (JPN),06 FEB 2000,1088
4657,2:14:25,,Alcídio COSTA,03 JUN 1966,POR,12,,Hamburg (GER),21 APR 2002,1088
4657,2:14:25,,Antoni BERNADÓ,09 DEC 1966,AND,3,,Barcelona (ESP),16 MAR 2003,1088
4657,2:14:25,,Edward MUGE,26 JUN 1983,KEN,13,,Köln (GER),14 OCT 2012,1088
4657,2:14:25,,Leonard Patrick KOMON,10 JAN 1988,KEN,6,,Eindhoven (NED),12 OCT 2014,1088
4657,2:14:25,,Samson GEZAHAI,07 FEB 1992,ERI,8,,Praha (CZE),07 MAY 2017,1088
