Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
200,2:22:35,,Marta MEGRA,30 DEC 1990,ETH,2,,Toronto (CAN),21 OCT 2018,1207
200,2:22:35,,Marion KIBOR,27 SEP 1994,KEN,5,,Hamburg (GER),23 APR 2023,1207
203,2:22:36,,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,3,,"Chicago, IL (USA)",22 OCT 2006,1207
203,2:22:36,,Sentayehu LEWETEGN,09 MAY 1996,ETH,2,,Ljubljana (SLO),23 OCT 2022,1207
205,2:22:38,,Yingying ZHANG,04 JAN 1990,CHN,1,,Xiamen (CHN),05 JAN 2008,1206
206,2:22:41,,Jiali WANG,01 FEB 1986,CHN,1,,Chongqing (CHN),18 MAR 2012,1206
206,2:22:41,,Afera GODFAY,25 SEP 1991,ETH,1,,Dongying (CHN),20 APR 2019,1206
208,2:22:43,,Koren Jelila YAL,18 JAN 1987,ETH,1,,Toronto (CAN),16 OCT 2011,1206
208,2:22:43,,Pamela ROTICH,25 DEC 1984,KEN,2,,Daegu (KOR),03 APR 2022,1206
210,2:22:44,,Violah CHEPTOO,01 MAR 1989,KEN,2,,"New York, NY (USA)",07 NOV 2021,1205
211,2:22:45,,Waganesh MEKASHA,16 JAN 1992,ETH,4,,Dubai (UAE),25 JAN 2019,1205
211,2:22:45,,Shyline Jepkorir TOROITICH,20 OCT 1994,KEN,1,,Enschede (NED),16 APR 2023,1205
213,2:22:46,,Reiko TOSA,11 JUN 1976,JPN,4,,London (GBR),14 APR 2002,1205
213,2:22:46,,Purity CHANGWONY,1990,KEN,2,,Siena (ITA),11 APR 2021,1205
215,2:22:47,,Pascalia JEPKOGEI,19 NOV 2001,KEN,1,,Eindhoven (NED),09 OCT 2022,1205
215,2:22:47,,Rebecca CHEPTEGEI,22 FEB 1991,UGA,4,,Abu Dhabi (UAE),17 DEC 2022,1205
217,2:22:48,,Sairi MAEDA,07 NOV 1991,JPN,2,,Nagoya (JPN),08 MAR 2015,1205
218,2:22:51,,Nienke BRINKMAN,28 OCT 1993,NED,2,,Rotterdam (NED),10 APR 2022,1204
219,2:22:52,,Fantu JIMMA,11 SEP 1987,ETH,2,,Paris (FRA),03 APR 2022,1204
219,2:22:52,,Bere AYALEW,12 SEP 1999,ETH,2,,Eindhoven (NED),09 OCT 2022,1204
219,2:22:52,,Meseret DINKE,22 SEP 1996,ETH,5,,Abu Dhabi (UAE),17 DEC 2022,1204
222,2:22:54,,Lidia ŞIMON,04 SEP 1973,ROU,1,,Osaka (JPN),30 JAN 2000,1204
222,2:22:54,,Bekelech GUDETA,11 OCT 1997,ETH,1,,Xiamen (CHN),07 JAN 2024,1204
224,2:22:56,,Harumi HIROYAMA-SUZUKI,02 SEP 1968,JPN,2,,Osaka (JPN),30 JAN 2000,1203
224,2:22:56,,Jeļena PROKOPČUKA,21 SEP 1976,LAT,1,,Osaka (JPN),30 JAN 2005,1203
226,2:22:59,,Madaí PÉREZ,02 FEB 1980,MEX,4,,"Chicago, IL (USA)",22 OCT 2006,1203
227,2:23:00,,Filomena CHEPCHIRCHIR,01 DEC 1981,KEN,2,,Frankfurt (GER),27 OCT 2013,1203
227,2:23:00,,Janet RUGURU,20 MAY 1993,KEN,2,,Beijing (CHN),29 OCT 2023,1203
229,2:23:01,,Sheila JEROTICH,06 JUN 1989,KEN,3,,Wien (AUT),24 APR 2022,1202
230,2:23:02,,Valentine KIPKETER,05 JAN 1993,KEN,1,,Amsterdam (NED),20 OCT 2013,1202
230,2:23:02,,Betty CHEPKWONY,26 APR 1995,KEN,1,,Roma (ITA),19 MAR 2023,1202
232,2:23:04,,Beyenu DEGEFA,12 JUL 1999,ETH,3,,Valencia (ESP),05 DEC 2021,1202
233,2:23:05,,Marleen RENDERS,24 DEC 1968,BEL,1,,Paris (FRA),07 APR 2002,1202
233,2:23:05,,Natsumi MATSUSHITA,22 JAN 1995,JPN,3,,Osaka (JPN),30 JAN 2022,1202
