Rank,Mark,Competitor,Gender,Event,DOB,Nat,Pos,Venue,Date
600,2:25:57,Gladys TEJEDA,Women,Marathon,30 SEP 1985,PER,9,Sevilla (ESP),20 FEB 2022
602,2:25:58,Mirai WAKU,Women,Marathon,01 JUL 1995,JPN,7,Nagoya (JPN),12 MAR 2023
602,2:25:58,Tristin VAN ORD,Women,Marathon,03 OCT 1994,USA,14,"Chicago, IL (USA)",08 OCT 2023
604,2:25:59,Kerryn MCCANN,Women,Marathon,02 MAY 1967,AUS,5,London (GBR),16 APR 2000
604,2:25:59,Chiharu SUZUKI,Women,Marathon,18 NOV 1993,JPN,7,Osaka (JPN),29 JAN 2023
604,2:25:59,Zinash DEBEBE,Women,Marathon,12 OCT 1996,ETH,3,Roma (ITA),19 MAR 2023
604,2:25:59,Samantha HARRISON,Women,Marathon,01 FEB 1995,GBR,11,London (GBR),23 APR 2023
608,2:26:00,Julia Mombi MURAGA,Women,Marathon,25 JAN 1985,KEN,3,Osaka (JPN),27 JAN 2008
608,2:26:00,Lenah CHERUIYOT,Women,Marathon,01 MAR 1973,KEN,3,Paris (FRA),06 APR 2008
610,2:26:01,Kazumi MATSUO,Women,Marathon,18 APR 1974,JPN,1,Nagoya (JPN),11 MAR 2001
610,2:26:01,Luminita ZAITUC,Women,Marathon,09 OCT 1968,GER,1,Frankfurt (GER),28 OCT 2001
610,2:26:01,Adanech MEKONNEN,Women,Marathon,1997,ETH,2,Málaga (ESP),15 DEC 2024
610,2:26:01,Bing WU,Women,Marathon,20 JUL 2001,CHN,1,Jiaxing (CHN),30 MAR 2025
614,2:26:02,Kiyomi OGAWA,Women,Marathon,15 SEP 1981,JPN,5,Nagoya (JPN),13 MAR 2005
614,2:26:02,Yong-Ok JONG,Women,Marathon,24 JAN 1981,PRK,1,Pyongyang (PRK),08 APR 2007
616,2:26:03,Makiko ITO,Women,Marathon,18 JAN 1973,JPN,3,Rotterdam (NED),20 APR 1997
616,2:26:03,Janet Jelagat RONO,Women,Marathon,08 DEC 1988,KEN,5,Tokyo (JPN),23 FEB 2014
618,2:26:04,Paskalia Chepkorir KIPKOECH,Women,Marathon,22 DEC 1988,KEN,5,Paris (FRA),14 APR 2019
619,2:26:05,Fatuma ROBA,Women,Marathon,18 DEC 1973,ETH,1,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
619,2:26:05,Asha GIGI,Women,Marathon,15 OCT 1973,ETH,2,Paris (FRA),04 APR 2004
619,2:26:05,Viola CHEPNGENO,Women,Marathon,19 SEP 2000,KEN,8,Barcelona (ESP),16 MAR 2025
619,2:26:05,Choe Il GYONG,Women,Marathon,19 FEB 2001,PRK,2,Pyongyang (PRK),06 APR 2025
623,2:26:06,Kara GOUCHER,Women,Marathon,09 JUL 1978,USA,3,"Houston, TX (USA)",14 JAN 2012
623,2:26:06,Abersh MINSEWO,Women,Marathon,22 FEB 2001,ETH,1,Mumbai (IND),21 JAN 2024
625,2:26:07,Ayano IKEMITSU,Women,Marathon,18 APR 1991,JPN,12,Nagoya (JPN),10 MAR 2019
625,2:26:07,Kwang-Ok RI,Women,Marathon,27 JUL 1996,PRK,2,Jiaxing (CHN),30 MAR 2025
627,2:26:08,Małgorzata SOBAŃSKA,Women,Marathon,25 APR 1969,POL,4,"Chicago, IL (USA)",07 OCT 2001
627,2:26:08,Eri OKUBO,Women,Marathon,02 JUN 1983,JPN,4,Tokyo (JPN),26 FEB 2012
627,2:26:08,Camille FRENCH,Women,Marathon,11 JUL 1990,NZL,31,Valencia (ESP),03 DEC 2023
627,2:26:08,Gladys KIPTOO,Women,Marathon,30 NOV 1994,KEN,1,Nanjing (CHN),17 NOV 2024
627,2:26:08,Rino GOSHIMA,Women,Marathon,29 OCT 1997,JPN,10,Nagoya (JPN),09 MAR 2025
627,2:26:08,Gete DUKALE,Women,Marathon,,ETH,3,Wuxi (CHN),23 MAR 2025
633,2:26:09,Tomoe ABE,Women,Marathon,13 AUG 1971,JPN,1,Osaka (JPN),30 JAN 1994
633,2:26:09,Nobuko FUJIMURA,Women,Marathon,18 DEC 1965,JPN,2,Osaka (JPN),30 JAN 1994
633,2:26:09,Miki OHIRA,Women,Marathon,28 JUN 1981,JPN,4,Osaka (JPN),27 JAN 2008
636,2:26:10,Junko ASARI,Women,Marathon,22 SEP 1969,JPN,3,Osaka (JPN),30 JAN 1994
636,2:26:10,Zhor EL KAMCH,Women,Marathon,15 MAR 1973,MAR,1,Rotterdam (NED),04 APR 2004
636,2:26:10,Debellu Shitaye GEMECHU,Women,Marathon,17 JUN 1980,ETH,4,Paris (FRA),06 APR 2008
636,2:26:10,Rosaria CONSOLE,Women,Marathon,17 DEC 1979,ITA,7,Berlin (GER),25 SEP 2011
636,2:26:10,Rachael Zena CHEBET,Women,Marathon,05 NOV 1996,UGA,9,Rotterdam (NED),13 APR 2025
641,2:26:11,Chika HORIE,Women,Marathon,15 FEB 1981,JPN,1,Sapporo (JPN),25 AUG 2002
641,2:26:11,Lyubov DENISOVA,Women,Marathon,06 OCT 1971,RUS,1,"Los Angeles, CA (USA)",06 MAR 2005
641,2:26:11,Esther CHESANG,Women,Marathon,26 OCT 1994,KEN,5,Barcelona (ESP),07 NOV 2021
641,2:26:11,Caroline JEPCHIRCHIR,Women,Marathon,01 JAN 1988,KEN,4,Enschede (NED),24 APR 2022
641,2:26:11,Irvette VAN ZYL,Women,Marathon,05 JUL 1987,RSA,16,Valencia (ESP),04 DEC 2022
646,2:26:12,Eun-ju KWON,Women,Marathon,23 OCT 1977,KOR,1,Chuncheon (KOR),26 OCT 1997
646,2:26:12,Aynalem KASSAHUN,Women,Marathon,28 NOV 1993,ETH,3,Cape Town (RSA),17 OCT 2021
648,2:26:13,Sonja OBEREM-KROLIK,Women,Marathon,24 FEB 1973,GER,1,Hamburg (GER),22 APR 2001
648,2:26:13,Tatyana ARYASOVA,Women,Marathon,02 APR 1979,RUS,1,Dublin (IRL),25 OCT 2010
648,2:26:13,Ruihuan LIU,Women,Marathon,29 JUN 1992,CHN,1,Chongqing (CHN),20 MAR 2016
648,2:26:13,Eunice JEPTOO,Women,Marathon,24 JUN 1983,KEN,1,Eindhoven (NED),08 OCT 2017
648,2:26:13,Yuka TAKASHIMA,Women,Marathon,12 MAY 1988,JPN,8,Paris (FRA),08 APR 2018
653,2:26:14,Marta GALIMANY,Women,Marathon,05 OCT 1985,ESP,17,Valencia (ESP),04 DEC 2022
653,2:26:14,Natasha COCKRAM,Women,Marathon,12 NOV 1992,GBR,18,Valencia (ESP),04 DEC 2022
